Nelemtj = 608, ElemNodeEnd = 127, ElemMyelenEnd = 607
(Nodeid,phi):  (0,1447.96),  (1,848.654),  (2,13.2873),  (3,0.186325),  (4,0.0019501),  (5,-0.00101325),  (6,-0.00106066),  (7,-0.00106164),  (8,-0.00106166),  (9,-0.00106166),  (10,-0.00106166),  (11,-0.00106166),  (12,-0.00106166),  (13,-0.00106166),  (14,-0.00106166),  (15,-0.00106166),  (16,-0.00106166),  (17,-0.00106166),  (18,-0.00106166),  (19,-0.00106166),  (20,-0.00106166),  (21,-0.00106166),  (22,-0.00106166),  (23,-0.00106166),  (24,-0.00106166),  (25,-0.00106166),  (26,-0.00106166),  (27,-0.00106166),  (28,-0.00106166),  (29,-0.00106166),  (30,-0.00106166),  (31,-0.00106165), 

Writing: "ThinLine2DTestL06ISOV1_5.chk" (0s, XML)
Steps: 600000   Time: 0.006       
 CPU Time: 48.5163 min.
(Nodeid,phi):  (0,116.8),  (1,116.801),  (2,13.6517),  (3,0.191467),  (4,0.00203038),  (5,-0.00101434),  (6,-0.00106305),  (7,-0.00106406),  (8,-0.00106408),  (9,-0.00106408),  (10,-0.00106408),  (11,-0.00106408),  (12,-0.00106408),  (13,-0.00106408),  (14,-0.00106408),  (15,-0.00106408),  (16,-0.00106408),  (17,-0.00106408),  (18,-0.00106408),  (19,-0.00106408),  (20,-0.00106408),  (21,-0.00106408),  (22,-0.00106408),  (23,-0.00106408),  (24,-0.00106408),  (25,-0.00106408),  (26,-0.00106408),  (27,-0.00106408),  (28,-0.00106408),  (29,-0.00106408),  (30,-0.00106408),  (31,-0.00106407), 
frontloc = 0.00104317, frontloc_old = 0, cond. vel. = 1.04317 m/s

Writing: "ThinLine2DTestL06ISOV1_6.chk" (0s, XML)
Steps: 700000   Time: 0.007       
 CPU Time: 48.5133 min.
(Nodeid,phi):  (0,116.928),  (1,116.93),  (2,14.7925),  (3,0.207552),  (4,0.00228659),  (5,-0.00101256),  (6,-0.00106534),  (7,-0.00106644),  (8,-0.00106645),  (9,-0.00106645),  (10,-0.00106645),  (11,-0.00106645),  (12,-0.00106645),  (13,-0.00106645),  (14,-0.00106645),  (15,-0.00106645),  (16,-0.00106645),  (17,-0.00106645),  (18,-0.00106645),  (19,-0.00106645),  (20,-0.00106645),  (21,-0.00106645),  (22,-0.00106645),  (23,-0.00106645),  (24,-0.00106645),  (25,-0.00106645),  (26,-0.00106645),  (27,-0.00106645),  (28,-0.00106645),  (29,-0.00106645),  (30,-0.00106645),  (31,-0.00106644), 
frontloc = 0.001125, frontloc_old = 0.00104317, cond. vel. = 0.0818317 m/s

Writing: "ThinLine2DTestL06ISOV1_7.chk" (0s, XML)
Steps: 800000   Time: 0.008       
 CPU Time: 48.5152 min.
(Nodeid,phi):  (0,117.037),  (1,117.039),  (2,16.0253),  (3,0.224937),  (4,0.00256374),  (5,-0.00101039),  (6,-0.00106758),  (7,-0.00106876),  (8,-0.00106878),  (9,-0.00106878),  (10,-0.00106878),  (11,-0.00106878),  (12,-0.00106878),  (13,-0.00106878),  (14,-0.00106878),  (15,-0.00106878),  (16,-0.00106878),  (17,-0.00106878),  (18,-0.00106878),  (19,-0.00106878),  (20,-0.00106878),  (21,-0.00106878),  (22,-0.00106878),  (23,-0.00106878),  (24,-0.00106878),  (25,-0.00106878),  (26,-0.00106878),  (27,-0.00106878),  (28,-0.00106878),  (29,-0.00106878),  (30,-0.00106878),  (31,-0.00106877), 
frontloc = 0.00116817, frontloc_old = 0.001125, cond. vel. = 0.0431683 m/s

Writing: "ThinLine2DTestL06ISOV1_8.chk" (0s, XML)
Steps: 900000   Time: 0.009       
 CPU Time: 48.619 min.
(Nodeid,phi):  (0,117.129),  (1,117.13),  (2,17.3558),  (3,0.2437),  (4,0.00286309),  (5,-0.00100783),  (6,-0.00106976),  (7,-0.00107105),  (8,-0.00107106),  (9,-0.00107106),  (10,-0.00107106),  (11,-0.00107106),  (12,-0.00107106),  (13,-0.00107106),  (14,-0.00107106),  (15,-0.00107106),  (16,-0.00107106),  (17,-0.00107106),  (18,-0.00107106),  (19,-0.00107106),  (20,-0.00107106),  (21,-0.00107106),  (22,-0.00107106),  (23,-0.00107106),  (24,-0.00107106),  (25,-0.00107106),  (26,-0.00107106),  (27,-0.00107106),  (28,-0.00107106),  (29,-0.00107106),  (30,-0.00107106),  (31,-0.00107106), 
frontloc = 0.00122174, frontloc_old = 0.00116817, cond. vel. = 0.0535714 m/s

Writing: "ThinLine2DTestL06ISOV1_9.chk" (0s, XML)
Steps: 1000000  Time: 0.01        
 CPU Time: 48.8532 min.
(Nodeid,phi):  (0,117.205),  (1,117.206),  (2,18.79),  (3,0.263931),  (4,0.00318606),  (5,-0.00100485),  (6,-0.0010719),  (7,-0.00107329),  (8,-0.00107331),  (9,-0.00107331),  (10,-0.00107331),  (11,-0.00107331),  (12,-0.00107331),  (13,-0.00107331),  (14,-0.00107331),  (15,-0.00107331),  (16,-0.00107331),  (17,-0.00107331),  (18,-0.00107331),  (19,-0.00107331),  (20,-0.00107331),  (21,-0.00107331),  (22,-0.00107331),  (23,-0.00107331),  (24,-0.00107331),  (25,-0.00107331),  (26,-0.00107331),  (27,-0.00107331),  (28,-0.00107331),  (29,-0.00107331),  (30,-0.00107331),  (31,-0.0010733), 
frontloc = 0.00127826, frontloc_old = 0.00122174, cond. vel. = 0.0565206 m/s

Writing: "ThinLine2DTestL06ISOV1_10.chk" (0s, XML)
Steps: 1100000  Time: 0.011       
 CPU Time: 48.5797 min.
(Nodeid,phi):  (0,117.268),  (1,117.269),  (2,20.335),  (3,0.285728),  (4,0.00353425),  (5,-0.00100142),  (6,-0.00107398),  (7,-0.00107549),  (8,-0.00107551),  (9,-0.00107551),  (10,-0.00107551),  (11,-0.00107551),  (12,-0.00107551),  (13,-0.00107551),  (14,-0.00107551),  (15,-0.00107551),  (16,-0.00107551),  (17,-0.00107551),  (18,-0.00107551),  (19,-0.00107551),  (20,-0.00107551),  (21,-0.00107551),  (22,-0.00107551),  (23,-0.00107551),  (24,-0.00107551),  (25,-0.00107551),  (26,-0.00107551),  (27,-0.00107551),  (28,-0.00107551),  (29,-0.00107551),  (30,-0.00107551),  (31,-0.0010755), 
frontloc = 0.00129317, frontloc_old = 0.00127826, cond. vel. = 0.014908 m/s

Writing: "ThinLine2DTestL06ISOV1_11.chk" (0s, XML)
Steps: 1200000  Time: 0.012       
 CPU Time: 48.537 min.
